Symbol,Series,ISIN Code
MRPL,EQ,INE103A01014
MARICO,EQ,INE196A01026
MARUTI,EQ,INE585B01010
MASTEK,EQ,INE759A01021
MFSL,EQ,INE180A01020
MAXHEALTH,EQ,INE027H01010
MAZDOCK,EQ,INE249Z01012
MEDPLUS,EQ,INE804L01022
MFL,EQ,INE071N01016
METROBRAND,EQ,INE317I01021
METROPOLIS,EQ,INE112L01020
MSUMI,EQ,INE0FS801015
MOTILALOFS,EQ,INE338I01027
MPHASIS,EQ,INE356A01018
MCX,EQ,INE745G01035
MUTHOOTFIN,EQ,INE414G01012
NATCOPHARM,EQ,INE987B01026
NBCC,EQ,INE095N01031
NCC,EQ,INE868B01028
NHPC,EQ,INE848E01016
NLCINDIA,EQ,INE589A01014
NMDC,EQ,INE584A01023
NOCIL,EQ,INE163A01018
NTPC,EQ,INE733E01010
NH,EQ,INE410P01011
NATIONALUM,EQ,INE139A01034
NAVINFLUOR,EQ,INE048G01026
NAZARA,EQ,INE418L01021
NESTLEIND,EQ,INE239A01016
NETWORK18,EQ,INE870H01013
NAM-INDIA,EQ,INE298J01013
NUVOCO,EQ,INE118D01016
OBEROIRLTY,EQ,INE093I01010
ONGC,EQ,INE213A01029
OIL,EQ,INE274J01014
OLECTRA,EQ,INE260D01016
PAYTM,EQ,INE982J01020
OFSS,EQ,INE881D01027
ORIENTELEC,EQ,INE142Z01019
POLICYBZR,EQ,INE417T01026
PCBL,EQ,INE602A01031
PIIND,EQ,INE603J01030
PNBHOUSING,EQ,INE572E01012
PNCINFRA,EQ,INE195J01029
PVR,EQ,INE191H01014
PAGEIND,EQ,INE761H01022
PATANJALI,BE,INE619A01035
PERSISTENT,EQ,INE262H01013
PETRONET,EQ,INE347G01014
PFIZER,EQ,INE182A01018
PHOENIXLTD,EQ,INE211B01039
PIDILITIND,EQ,INE318A01026
PEL,EQ,INE140A01024
PPLPHARMA,EQ,INE0DK501011
POLYMED,EQ,INE205C01021
POLYCAB,EQ,INE455K01017
POLYPLEX,EQ,INE633B01018
POONAWALLA,EQ,INE511C01022
PFC,EQ,INE134E01011
POWERGRID,EQ,INE752E01010
PRAJIND,EQ,INE074A01025
PRESTIGE,EQ,INE811K01011
PRINCEPIPE,EQ,INE689W01016
PRSMJOHNSN,EQ,INE010A01011
PGHH,EQ,INE179A01014
PNB,EQ,INE160A01022
QUESS,EQ,INE615P01015
RBLBANK,EQ,INE976G01028
RECLTD,EQ,INE020B01018
RHIM,EQ,INE743M01012
RITES,EQ,INE320J01015
RADICO,EQ,INE944F01028
RVNL,EQ,INE415G01027
RAIN,EQ,INE855B01025
RAINBOW,EQ,INE961O01016
RAJESHEXPO,EQ,INE343B01030
RALLIS,EQ,INE613A01020
RCF,EQ,INE027A01015
RATNAMANI,EQ,INE703B01027
RTNINDIA,EQ,INE834M01019
RAYMOND,EQ,INE301A01014
REDINGTON,EQ,INE891D01026
RELAXO,EQ,INE131B01039
RELIANCE,EQ,INE002A01018
RBA,EQ,INE07T201019
ROSSARI,EQ,INE02A801020
ROUTE,EQ,INE450U01017
SBICARD,EQ,INE018E01016
SBILIFE,EQ,INE123W01016
SJVN,EQ,INE002L01015
SKFINDIA,EQ,INE640A01023
SRF,EQ,INE647A01010
MOTHERSON,EQ,INE775A01035
SANOFI,EQ,INE058A01010
SAPPHIRE,EQ,INE806T01012
SCHAEFFLER,EQ,INE513A01022
SHARDACROP,EQ,INE221J01015
SHOPERSTOP,EQ,INE498B01024
SHREECEM,EQ,INE070A01015
RENUKA,EQ,INE087H01022
SHRIRAMFIN,EQ,INE721A01013
SHYAMMETL,EQ,INE810G01011
SIEMENS,EQ,INE003A01024
SOBHA,EQ,INE671H01015
SOLARINDS,EQ,INE343H01029
SONACOMS,EQ,INE073K01018
SONATSOFTW,EQ,INE269A01021
STARHEALTH,EQ,INE575P01011
SBIN,EQ,INE062A01020
SAIL,EQ,INE114A01011
SWSOLAR,EQ,INE00M201021
STLTECH,EQ,INE089C01029
SUMICHEM,EQ,INE258G01013
SPARC,EQ,INE232I01014
SUNPHARMA,EQ,INE044A01036
SUNTV,EQ,INE424H01027
SUNDARMFIN,EQ,INE660A01013
SUNDRMFAST,EQ,INE387A01021
SUNTECK,EQ,INE805D01034
SUPRAJIT,EQ,INE399C01030
SUPREMEIND,EQ,INE195A01028
SUVENPHAR,EQ,INE03QK01018
SUZLON,EQ,INE040H01021
SWANENERGY,EQ,INE665A01038
SYNGENE,EQ,INE398R01022
TCIEXP,EQ,INE586V01016
TCNSBRANDS,EQ,INE778U01029
TTKPRESTIG,EQ,INE690A01028
TV18BRDCST,EQ,INE886H01027
TVSMOTOR,EQ,INE494B01023
TMB,EQ,INE668A01016
TANLA,EQ,INE483C01032
TATACHEM,EQ,INE092A01019
TATACOMM,EQ,INE151A01013
TCS,EQ,INE467B01029
TATACONSUM,EQ,INE192A01025
TATAELXSI,EQ,INE670A01012
TATAINVEST,EQ,INE672A01018
TATAMTRDVR,EQ,IN9155A01020
TATAMOTORS,EQ,INE155A01022
TATAPOWER,EQ,INE245A01021
TATASTEEL,EQ,INE081A01020
TTML,EQ,INE517B01013
TEAMLEASE,EQ,INE985S01024
TECHM,EQ,INE669C01036
TEJASNET,EQ,INE010J01012
NIACL,EQ,INE470Y01017
RAMCOCEM,EQ,INE331A01037
THERMAX,EQ,INE152A01029
TIMKEN,EQ,INE325A01013
TITAN,EQ,INE280A01028
TORNTPHARM,EQ,INE685A01028
TORNTPOWER,EQ,INE813H01021
TCI,EQ,INE688A01022
TRENT,EQ,INE849A01020
TRIDENT,EQ,INE064C01022
TRIVENI,EQ,INE256C01024
TRITURBINE,EQ,INE152M01016
TIINDIA,EQ,INE974X01010
UCOBANK,EQ,INE691A01018
UFLEX,EQ,INE516A01017
UNOMINDA,EQ,INE405E01023
UPL,EQ,INE628A01036
UTIAMC,EQ,INE094J01016
ULTRACEMCO,EQ,INE481G01011
UNIONBANK,EQ,INE692A01016
UBL,EQ,INE686F01025
MCDOWELL-N,EQ,INE854D01024
VGUARD,EQ,INE951I01027
VMART,EQ,INE665J01013
VIPIND,EQ,INE054A01027
VAIBHAVGBL,EQ,INE884A01027
VTL,EQ,INE825A01020
VARROC,EQ,INE665L01035
VBL,EQ,INE200M01013
MANYAVAR,EQ,INE825V01034
VEDL,EQ,INE205A01025
VIJAYA,EQ,INE043W01024
VINATIORGA,EQ,INE410B01037
IDEA,EQ,INE669E01016
VOLTAS,EQ,INE226A01021
WELCORP,EQ,INE191B01025
WELSPUNIND,EQ,INE192B01031
WESTLIFE,EQ,INE274F01020
WHIRLPOOL,EQ,INE716A01013
WIPRO,EQ,INE075A01022
YESBANK,EQ,INE528G01035
ZFCVINDIA,EQ,INE342J01019
ZEEL,EQ,INE256A01028
ZENSARTECH,EQ,INE520A01027
ZOMATO,EQ,INE758T01015
ZYDUSLIFE,EQ,INE010B01027
ZYDUSWELL,EQ,INE768C01010
ECLERX,EQ,INE738I01010
